,Price,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,RenovationQualityRate
0,176391.7665,1002.49,1,2,354.22,44.61,8,106.01,26.79,94.32,3
1,402358.3158,897.55,5,3,579.57,41.05,6,13.77,24.4,86.13,5
2,124287.4584,774.63,2,1,1114.67,49.1,8,22.59,8.74,99.9,6
3,396428.1539,550.0,1,4,561.07,29.17,7,104.06,2.94,94.05,7
4,208725.8216,614.91,2,2,782.71,63.76,8,22.15,15.01,99.9,4
5,394620.5868,550.0,1,1,317.82,62.92,4,141.84,19.99,94.52,1
6,126925.7731,550.0,1,5,286.36,53.45,3,75.62,34.53,84.64,1
7,229853.3099,550.0,1,1,376.66,10.75,5,36.14,5.5,93.48,1
9,200818.954,1068.3,1,3,629.24,38.4,4,24.07,22.23,91.87,6
10,357035.4249,1201.84,3,2,1209.03,49.9,5,27.26,10.94,90.36,8
11,463808.856,1337.43,3,4,955.18,20.59,8,32.28,3.17,89.72,8
12,313945.7134,738.56,2,3,493.17,9.32,6,34.11,24.19,98.25,6
13,165031.6016,695.79,3,2,83.24,47.32,6,47.77,7.97,93.74,4
14,256587.6562,550.0,1,3,283.41,49.39,4,67.51,31.51,88.31,5
15,398669.8832,1912.38,3,4,507.06,41.58,10,27.11,14.38,96.4,6
16,323380.2074,859.83,3,3,708.09,21.88,8,23.49,11.97,91.77,5
17,448203.1313,1513.03,2,4,529.1,28.46,9,26.41,19.34,91.63,8
18,352825.9544,660.82,4,5,347.39,5.77,7,2.58,23.43,99.9,6
19,545962.0806,1835.88,2,4,491.31,46.18,8,95.53,15.05,87.67,5
20,149533.4247,550.0,2,4,697.31,36.49,6,30.3,23.89,84.98,3
21,264441.7319,1336.19,1,4,305.2,53.4,8,72.88,32.06,94.68,3
22,238200.4947,1814.94,1,4,482.49,13.44,7,46.63,23.18,93.48,4
23,135171.2247,946.9,1,3,596.87,25.8,6,120.73,26.67,97.35,1
24,229353.9442,1352.52,2,2,459.03,48.95,7,21.52,20.02,99.9,8
25,139404.3725,976.2,1,2,34.11,53.63,7,56.83,21.91,93.36,6
26,118318.5553,550.0,1,3,496.46,17.29,3,114.72,22.01,92.34,3
27,197581.5547,708.19,1,3,139.15,5.39,9,28.68,16.1,91.08,4
28,429178.0547,935.84,2,5,480.78,14.04,8,85.05,9.29,85.7,3
29,156375.4648,550.0,2,3,200.61,46.26,3,62.18,37.1,88.73,2
