,Price,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,RenovationQualityRate
2791,325744.8575,550.0,3,3,416.56,10.68,10,66.36,15.04,91.44,6
4040,297541.9988,1230.02,2,3,243.32,8.16,7,17.5,35.5,94.77,6
2564,232294.7133,2013.34,2,2,634.88,26.82,7,101.36,37.07,90.25,3
2030,225473.7252,915.01,3,3,1134.25,48.31,6,74.33,36.9,99.11,6
2139,135637.489,550.0,1,3,570.12,4.84,10,72.2,18.78,99.9,6
4554,279742.0998,781.61,4,3,879.97,33.61,8,58.94,25.57,97.68,5
5701,190445.474,812.11,1,4,531.14,32.76,8,30.63,18.92,85.3,5
2894,204548.7601,1191.08,2,1,988.35,65.89,5,38.99,26.4,91.77,4
1450,392351.1221,1114.83,2,5,315.97,17.94,7,62.92,8.29,98.47,5
6088,151906.6702,550.0,2,2,302.63,48.67,9,78.18,16.27,93.08,2
3187,328445.3249,879.48,3,4,663.46,27.8,9,10.4,6.69,99.9,5
6909,342589.5947,620.02,2,3,720.97,42.93,7,26.42,25.05,90.82,4
4318,176492.6957,550.0,1,2,172.25,25.83,6,18.11,10.22,95.01,5
1431,146466.797,965.39,1,2,895.86,35.35,6,57.21,0.91,97.6,4
253,236381.0551,1028.83,2,4,739.36,10.24,8,65.38,23.16,99.9,5
5674,579785.4694,1575.75,1,4,399.43,58.72,8,17.91,15.66,90.62,6
2725,323956.1211,1067.19,3,3,186.29,53.0,4,43.61,9.85,98.48,4
6550,182818.7408,550.0,1,3,206.6,31.93,6,10.15,13.52,92.5,5
1430,383100.28,1506.8,1,4,371.52,9.67,7,88.74,41.96,97.46,3
1326,196204.535,909.16,1,3,841.63,14.46,10,81.74,12.1,99.9,5
227,680379.2709,1411.04,1,5,465.67,37.83,5,63.68,2.26,91.82,8
427,321142.0997,1625.2,1,2,30.27,13.9,7,36.28,5.04,89.2,6
4440,259723.8412,550.0,1,1,883.35,60.5,5,98.99,52.38,87.37,1
3229,241637.9918,1431.8,1,4,487.22,56.36,7,38.63,12.03,94.78,5
1811,230680.7247,550.0,2,4,517.39,19.0,8,37.11,2.67,99.9,5
4285,267840.791,1139.69,2,3,503.87,49.83,8,81.33,20.79,87.84,3
2278,206005.8,1154.18,2,3,502.4,24.28,9,37.55,8.15,91.47,6
306,332625.6738,550.0,1,2,500.8,55.26,5,43.13,26.28,89.49,2
6566,473517.8678,855.68,4,4,556.58,14.53,10,30.63,2.16,89.7,4
