,Price,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,RenovationQualityRate
3967,258261.7063,1266.2,2,2,504.35,7.87,6,35.1,1.06,93.01,4
4030,370472.503,863.05,1,4,645.3,60.88,7,104.92,14.98,98.36,5
128,195802.9462,550.0,2,5,626.78,13.12,6,29.23,3.56,99.9,5
5431,239373.3608,1083.87,3,2,156.66,25.99,9,27.67,17.99,95.43,7
1154,402487.8841,1338.02,3,4,115.06,10.23,9,48.72,3.39,89.55,8
6560,220819.4242,1498.97,2,3,654.91,33.71,8,41.69,38.04,99.9,4
1032,193930.913,713.64,3,3,481.79,61.6,9,13.3,30.93,90.0,5
4672,530535.336,1517.93,2,3,446.08,25.24,7,9.86,13.14,97.69,5
5185,482017.4676,947.18,4,5,543.65,20.65,10,51.93,31.7,95.52,5
3019,379684.6826,868.88,3,3,361.31,54.28,7,129.78,13.05,99.9,6
3162,131578.2299,550.0,1,2,435.16,12.56,6,95.78,6.46,89.68,5
45,198393.1279,842.16,3,1,509.27,20.73,4,35.88,36.54,98.54,3
6390,414343.7851,1120.96,2,3,287.48,42.54,5,51.16,30.84,86.5,2
4212,339157.6545,1679.53,2,3,203.13,14.86,9,13.2,12.43,97.33,8
1437,227420.7281,550.0,1,3,284.84,35.03,6,6.12,29.69,98.88,8
870,369834.2411,1903.44,3,2,713.63,26.04,6,1.93,12.98,97.71,5
5815,419930.8983,1808.55,3,3,554.65,25.62,7,41.44,18.78,87.51,3
2116,188917.0239,936.93,1,3,664.37,50.51,7,94.89,4.26,95.47,4
4674,158109.1568,908.6,2,3,553.36,31.84,7,59.84,16.4,96.07,4
4165,287895.6731,1217.26,4,4,135.46,30.82,6,32.35,6.2,97.01,3
4834,265244.4909,1092.04,2,2,898.47,36.76,9,12.11,14.94,99.43,6
476,477320.8515,800.24,4,4,538.07,27.28,10,47.79,7.99,96.01,5
2215,154520.8067,550.0,1,2,198.3,47.9,5,7.12,21.73,88.88,3
6810,373278.9981,934.05,2,2,243.86,11.23,10,4.54,12.1,96.37,3
4089,527035.421,710.11,4,3,76.79,55.99,6,19.9,13.48,88.58,6
2923,234106.633,1408.17,1,2,104.69,51.51,7,11.51,0.21,99.67,7
6095,499241.8291,1054.36,3,4,187.51,61.83,8,27.29,0.34,91.23,6
3385,366361.8071,1515.07,2,3,949.39,57.27,6,64.97,6.0,96.8,5
1476,446524.2008,550.0,4,3,720.12,35.58,10,15.37,9.66,90.3,5
6202,574509.5466,1453.39,2,4,521.93,34.48,8,38.15,18.66,87.12,6
2337,497737.6711,1568.19,2,3,92.9,34.4,7,95.79,19.86,91.8,7
1917,621479.2461,1219.26,3,5,349.82,22.94,6,6.46,3.39,93.86,5
5444,298185.6107,1013.74,2,5,385.22,31.02,7,38.96,15.08,98.53,1
6426,331064.9391,1002.74,1,3,667.04,49.78,8,19.67,16.97,99.9,6
6253,434991.6789,939.05,4,3,695.47,50.81,5,94.52,1.66,99.03,7
5105,225900.6467,1653.37,1,3,887.74,15.4,10,79.82,17.81,99.9,7
3747,244610.7551,1105.77,2,2,64.51,50.8,6,0.51,22.49,99.9,1
2381,462583.2748,988.52,3,4,347.82,21.94,7,0.83,26.95,95.81,7
837,260976.6665,550.0,4,3,362.83,7.87,9,12.4,28.47,88.43,7
4644,524566.7559,1491.39,2,4,554.25,15.06,8,51.55,19.55,99.9,8
6607,498653.2234,1921.88,2,2,1107.22,50.88,7,104.99,30.66,90.67,9
116,329886.498,1974.31,1,2,926.42,29.23,9,7.79,0.73,95.19,6
1144,111848.1471,594.91,1,3,645.44,38.01,2,14.38,45.92,88.14,2
3344,361506.0277,550.0,3,4,897.81,23.43,7,11.96,18.39,94.32,5
4744,112204.4099,581.23,1,3,763.99,17.23,9,59.57,29.59,93.95,1
1537,205937.7401,550.0,2,4,811.75,38.21,5,68.45,20.72,95.19,5
698,199596.2137,838.6,2,2,382.42,25.2,8,44.1,9.2,90.7,4
1434,499696.5864,1069.5,1,5,606.66,15.72,7,20.77,23.65,90.86,7
924,554080.7887,1594.37,2,3,677.17,8.96,9,37.54,1.89,88.95,5
2129,344119.292,1561.19,3,1,471.66,31.38,6,17.27,16.28,99.9,7
395,230880.5805,1188.27,1,4,520.48,13.98,6,68.48,14.23,97.75,7
2436,190364.4617,550.0,4,4,345.02,37.23,7,52.51,31.66,93.75,3
2743,119789.4769,550.0,1,4,47.13,52.34,6,6.51,3.06,87.83,3
5189,280135.5817,1085.52,1,4,83.35,61.43,7,53.18,27.8,90.82,4
3981,454502.9972,922.04,1,4,252.12,20.59,10,60.1,1.09,92.54,6
6458,116897.0428,1010.89,2,1,581.64,44.39,4,11.69,14.44,90.98,3
4617,357928.3393,1288.96,2,3,273.31,13.53,10,100.91,23.56,99.9,5
2094,212222.81,862.03,1,4,194.27,1.26,8,43.02,3.75,88.53,7
1161,334675.3086,644.63,3,3,26.58,68.84,5,54.61,39.69,99.21,5
1023,200198.5874,550.0,2,2,671.47,22.13,6,40.23,26.41,91.59,5
3522,202869.0385,550.0,1,2,357.1,8.42,3,66.02,32.4,93.43,2
3536,365160.8737,1705.01,2,2,514.98,19.13,4,59.96,22.22,87.01,6
4340,172946.3162,1259.57,2,2,703.53,27.75,6,27.51,6.05,96.27,6
6243,176531.527,987.69,3,2,317.43,8.22,5,117.41,18.55,90.96,4
6651,439149.8153,1381.41,4,3,333.15,39.74,8,22.7,0.36,88.82,6
5082,121579.7368,612.23,2,2,276.9,1.66,6,98.88,35.46,94.46,2
2133,518240.1413,1377.07,2,4,295.86,23.91,9,11.84,27.2,93.79,5
2611,301226.0367,1007.39,3,2,454.78,5.77,8,14.3,3.85,97.89,3
