,IsLuxury,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,RenovationQualityRate
3532,0,550.0,1,3,93.57,59.07,6,1.22,13.89,90.79,4
6728,1,836.16,4,3,122.89,64.91,7,8.51,7.59,99.9,7
5763,1,1304.89,4,4,173.37,37.06,9,15.14,11.85,99.48,6
4150,0,1507.02,2,1,976.97,37.08,8,3.15,5.19,84.35,7
2510,1,550.0,2,5,267.23,27.71,8,54.0,18.65,97.25,6
3598,0,550.0,2,3,875.53,19.08,5,48.38,0.51,91.91,4
864,1,1020.7,2,4,1182.57,26.23,8,38.14,12.15,99.9,7
5894,1,1072.14,4,2,410.06,54.33,10,6.48,11.51,99.9,6
4797,0,931.9,3,3,758.73,14.69,6,63.44,24.37,90.94,2
6141,1,550.0,3,4,594.71,9.0,9,69.62,33.38,92.99,8
2255,1,633.49,3,3,27.15,25.92,6,121.9,22.2,95.12,5
5828,1,1753.26,2,5,821.42,16.11,7,63.3,12.36,94.12,6
2777,1,1035.3,4,4,501.63,49.55,8,25.39,21.03,91.68,4
1409,0,550.0,1,4,181.29,53.97,8,9.49,0.12,96.63,4
811,0,557.98,1,4,59.19,44.5,6,51.15,16.71,95.43,3
1281,1,550.0,3,4,604.56,60.97,7,13.04,20.98,91.48,7
1769,0,914.43,2,2,424.12,49.03,5,121.47,14.04,99.9,6
2539,1,682.53,3,3,873.23,37.13,8,48.83,13.8,96.48,7
3662,0,1964.4,1,2,929.31,46.62,5,84.11,4.72,88.14,5
6100,1,1088.99,2,3,299.76,49.82,7,58.14,11.75,91.25,4
1451,1,1412.67,3,6,441.82,37.05,10,4.59,0.98,94.19,10
3667,0,550.0,1,2,593.84,4.14,5,64.78,36.63,86.18,5
3549,1,1392.66,1,3,1007.89,6.67,5,60.49,29.8,91.32,4
6638,1,853.67,1,3,493.31,30.62,7,43.94,0.23,87.08,3
971,0,1122.2,1,2,207.03,8.49,5,28.57,13.84,85.73,4
1730,0,550.0,1,4,430.55,39.64,5,57.27,16.27,84.3,5
4425,0,550.0,2,2,130.27,2.44,7,54.68,26.91,87.55,3
1382,1,694.2,1,4,945.74,49.35,9,35.72,4.68,99.78,3
2425,1,2221.13,2,4,369.58,5.59,10,40.07,4.85,99.9,7
5609,0,1072.97,1,2,352.41,31.76,8,7.62,11.45,93.24,5
6113,1,1083.69,3,3,375.58,42.66,9,44.56,14.02,93.09,5
5822,0,989.32,1,4,525.88,21.41,8,50.54,30.11,89.56,3
5088,1,1516.18,3,3,419.58,56.96,9,18.35,8.34,94.51,6
4560,0,627.78,1,3,219.09,5.84,8,12.27,18.14,94.47,5
1691,0,550.0,2,4,679.14,25.31,7,70.29,1.38,93.02,5
6253,0,939.05,4,3,695.47,50.81,5,94.52,1.66,99.03,7
246,0,868.62,2,3,206.64,30.34,10,24.76,7.67,99.9,6
4542,1,865.23,2,3,519.56,21.44,9,45.04,7.5,89.93,5
6185,1,760.67,3,3,98.23,21.9,10,68.42,2.27,99.9,4
3818,1,693.18,1,2,132.85,67.25,7,67.33,34.12,99.9,4
5124,0,939.7,2,4,719.79,52.0,5,74.79,9.32,93.68,3
3844,0,1663.19,5,1,676.05,35.23,8,44.79,2.56,98.73,7
2032,0,635.61,3,3,474.76,29.0,7,2.56,1.2,97.15,4
6522,1,1153.69,1,6,509.64,0.81,10,63.0,27.35,99.9,5
3626,1,613.33,3,4,970.35,21.63,8,106.31,6.59,94.72,9
6886,0,672.98,1,1,378.25,31.76,7,22.72,7.86,99.9,6
5938,1,1318.75,1,5,429.97,27.45,10,21.49,9.87,93.81,3
3929,0,738.18,1,3,515.33,59.06,5,77.13,1.68,92.55,7
2767,1,826.87,3,4,578.59,1.75,7,16.14,31.39,96.75,5
4983,0,1569.85,3,2,559.7,34.59,10,39.4,12.65,94.43,5
397,1,1541.96,1,3,833.53,8.55,5,50.92,1.51,99.9,6
2753,1,2128.95,4,4,178.68,15.65,10,3.98,2.71,95.72,6
2913,0,628.62,1,2,149.27,39.59,8,43.09,12.47,87.0,2
5595,0,1269.76,4,3,1009.57,57.27,7,42.51,4.98,96.55,5
4447,1,1695.41,4,2,892.47,15.13,8,40.56,5.76,99.9,9
