,IsLuxury,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,RenovationQualityRate
4245,1,2032.13,3,5,1233.56,61.39,10,23.32,5.39,99.39,8
6299,0,1088.51,1,2,543.77,45.8,6,23.34,9.8,89.62,5
5834,1,550.0,3,3,617.2,17.01,8,15.43,21.13,98.86,8
1250,1,1593.68,2,2,403.84,0.89,9,14.64,4.26,92.94,6
1555,0,1076.3,2,3,458.96,55.02,6,120.99,5.26,97.17,4
1855,1,1639.48,2,3,347.81,29.9,10,6.69,3.95,95.04,7
1421,1,550.0,1,3,232.45,32.01,3,73.54,28.42,87.21,3
3808,1,1434.95,5,3,1010.57,44.04,8,7.42,6.53,90.69,7
938,0,550.0,2,1,357.36,36.28,6,15.72,11.95,93.35,3
3441,0,550.0,3,4,447.98,53.27,9,29.22,28.28,89.1,7
1124,1,795.11,5,4,892.19,24.73,9,55.03,17.04,98.02,6
6785,1,1954.7,2,3,456.4,14.96,10,111.8,29.96,96.8,6
3740,1,805.96,2,3,844.53,47.19,7,3.85,30.4,98.24,6
2534,0,999.91,2,3,664.88,19.29,8,40.81,0.47,99.9,6
368,0,550.0,3,4,727.82,36.87,9,25.26,13.54,95.83,5
3793,0,692.3,1,3,475.8,7.83,7,73.18,9.76,82.46,6
849,1,550.0,3,3,116.6,52.8,5,103.32,34.33,96.61,4
2395,0,694.07,3,2,401.92,36.53,8,44.48,36.99,89.81,6
2500,0,1350.43,2,3,717.58,0.68,7,79.91,7.76,91.63,5
3367,0,550.0,2,3,673.1,32.34,7,36.74,40.38,96.19,2
1353,0,550.0,2,2,112.89,44.62,7,21.95,1.99,95.22,5
5460,0,774.15,1,3,294.12,51.73,6,7.59,5.71,89.75,1
4015,1,550.0,1,3,666.22,20.35,4,50.4,38.59,90.05,6
1050,0,550.0,3,2,761.76,17.39,6,65.28,2.02,99.9,6
4471,1,682.2,1,3,916.07,7.85,6,29.74,15.17,86.76,2
3040,1,1739.49,3,2,637.75,52.17,8,51.77,3.82,99.9,7
4839,0,1417.34,2,2,374.73,37.63,3,61.04,13.47,84.4,4
2204,0,1551.69,4,4,962.41,37.62,8,33.29,6.53,94.18,7
5284,0,1408.2,2,3,423.3,29.15,8,82.0,26.7,87.06,7
5444,0,1013.74,2,5,385.22,31.02,7,38.96,15.08,98.53,1
2428,0,801.11,4,4,245.59,15.0,9,93.89,27.18,86.05,8
4135,0,848.11,1,5,778.94,14.73,8,37.27,37.02,90.29,2
5720,0,1066.81,2,3,838.12,46.27,7,42.11,17.57,94.52,6
6358,1,1438.6,2,5,106.4,8.61,9,11.53,10.67,96.44,7
4695,1,1406.63,3,4,719.49,37.15,7,75.46,7.79,99.9,8
2607,1,1262.21,2,5,763.11,24.68,7,3.44,3.17,90.29,3
1207,1,1251.03,1,3,532.89,38.21,6,75.32,30.19,91.8,2
733,0,550.0,1,3,467.52,40.7,8,23.37,6.58,98.99,6
6866,0,823.48,4,2,275.48,35.64,9,20.8,10.02,91.95,2
6799,0,709.22,2,4,488.94,47.73,5,31.88,0.0,89.78,6
506,0,717.8,1,3,524.78,33.84,6,78.09,20.54,93.32,5
2798,1,821.19,2,4,461.33,59.45,7,25.26,21.59,99.16,5
6124,1,1221.31,4,3,76.34,17.23,9,32.5,3.91,97.78,8
4288,0,1281.0,1,2,12.43,18.25,6,18.85,11.84,94.81,3
4262,0,2240.87,1,1,410.31,40.39,6,109.39,26.25,84.87,6
5000,1,1064.7,3,1,853.17,35.88,5,12.7,21.35,94.9,4
6985,1,829.16,4,4,367.52,56.49,9,10.34,23.97,90.17,7
1406,0,1154.95,1,4,199.91,39.81,6,120.6,9.03,91.12,3
2714,0,550.0,2,3,477.22,61.35,5,53.4,17.55,94.43,5
1182,0,1116.34,2,3,438.81,46.07,8,31.53,6.66,93.63,7
6911,0,578.86,2,4,250.57,9.24,8,109.2,2.57,91.02,4
6115,1,550.0,2,3,212.42,37.86,4,35.47,49.28,87.35,1
800,0,1226.69,2,4,341.57,39.68,8,7.97,3.07,99.46,2
446,1,1096.37,3,4,515.33,75.94,8,8.97,6.01,87.0,7
5181,0,550.0,2,4,184.33,32.83,7,35.27,38.8,97.31,3
2891,0,617.7,3,1,207.87,43.92,4,67.16,22.0,89.72,4
4834,0,1092.04,2,2,898.47,36.76,9,12.11,14.94,99.43,6
1052,0,1542.53,1,4,462.3,31.22,7,7.38,27.23,92.89,4
72,1,1032.34,3,3,221.1,72.3,7,32.45,20.49,96.54,4
1792,0,646.13,2,3,573.88,9.66,7,71.64,23.97,95.35,3
1437,0,550.0,1,3,284.84,35.03,6,6.12,29.69,98.88,8
3687,0,752.71,3,2,825.31,44.37,4,8.94,19.79,89.35,3
2163,0,550.0,2,3,111.94,12.29,4,120.76,2.74,91.45,6
2112,1,1899.29,3,4,359.86,12.78,10,6.18,3.25,88.55,7
4032,1,1779.61,1,3,928.87,39.14,6,107.07,46.13,97.68,6
1625,1,1622.41,2,4,949.82,18.6,9,7.95,4.08,97.71,7
3813,0,910.77,3,2,412.71,6.48,8,13.11,8.79,94.99,4
2786,1,770.63,3,4,646.07,29.63,8,21.15,19.75,92.74,7
2942,0,550.0,4,3,656.65,20.3,7,54.93,18.14,95.13,6
1433,1,847.43,3,5,424.46,53.6,10,28.76,18.96,99.9,7
6349,0,771.76,3,2,1333.38,9.26,7,71.26,9.29,99.9,3
6903,1,629.33,1,1,759.14,23.45,4,17.65,45.29,89.29,4
6251,0,550.0,2,2,607.25,32.65,4,70.67,3.51,95.91,2
6748,1,1161.83,3,3,911.19,13.47,7,5.94,8.36,99.9,5
3580,1,1035.55,2,6,187.9,74.41,10,57.28,15.3,93.69,4
3135,0,1065.51,3,3,782.28,0.77,4,66.49,7.26,90.83,5
3697,1,620.11,1,2,192.09,24.03,6,92.6,29.23,96.27,1
3112,0,1004.24,2,3,1070.43,42.02,8,13.21,5.14,95.5,4
1832,0,763.2,1,3,121.33,20.11,7,97.84,14.43,88.12,3
6842,1,1454.39,3,3,25.06,22.2,8,78.07,24.44,93.67,3
1440,1,1164.87,2,4,501.71,64.9,7,48.85,8.81,84.83,5
2175,0,800.7,1,2,165.21,59.26,6,16.69,2.93,94.49,3
2861,0,550.0,3,5,759.08,30.7,8,21.15,11.49,98.11,7
4047,0,550.0,2,1,529.29,54.31,3,51.85,16.28,86.78,1
5442,1,1118.63,3,3,438.45,38.71,10,16.9,7.88,99.9,5
2917,0,1109.85,2,2,265.66,21.7,7,46.62,8.9,94.68,7
1413,1,1265.16,1,4,636.71,38.04,10,60.39,39.29,93.53,9
3296,0,840.53,1,4,710.01,14.97,8,107.16,25.62,90.85,5
6051,0,697.21,1,4,551.48,35.19,5,46.19,6.19,99.9,6
530,1,1411.64,3,3,247.03,21.64,6,65.61,23.17,93.73,5
4882,0,1058.54,2,2,28.08,1.56,8,0.27,10.84,99.35,5
6797,0,1524.55,1,3,72.35,74.57,5,26.92,23.95,94.68,6
916,0,550.0,2,1,77.07,49.79,6,11.38,35.77,91.78,2
5889,0,1172.05,4,3,631.0,36.56,7,8.81,14.97,87.69,6
5373,1,1404.98,2,2,354.11,12.46,8,24.09,34.76,89.95,5
921,1,1396.24,1,4,477.56,19.94,9,25.51,6.75,96.89,6
2863,1,1418.84,1,3,310.79,29.19,6,46.61,11.34,99.9,5
3328,1,857.66,3,4,403.3,26.87,8,97.92,24.34,90.43,4
1816,0,550.0,2,3,477.41,33.41,8,55.01,18.13,97.72,2
4265,1,690.99,1,2,769.52,63.18,7,22.53,25.81,88.04,1
4470,1,1414.69,3,2,828.03,35.25,4,40.62,2.14,94.52,5
6265,1,977.51,1,3,1144.03,22.86,7,11.24,11.38,96.35,6
1909,1,550.0,2,4,278.61,64.42,6,8.98,21.31,91.79,5
2300,0,1068.86,2,3,190.67,10.09,7,23.14,14.36,96.08,3
3110,0,640.47,3,2,828.6,8.79,6,37.9,9.5,91.77,8
4184,0,1614.37,1,2,483.68,70.17,6,49.51,16.46,99.9,5
6575,0,550.0,2,2,400.32,25.54,5,14.08,34.83,91.1,5
6451,1,1156.5,2,5,708.0,4.54,8,13.62,6.92,90.12,6
2361,0,863.89,1,4,768.97,19.11,8,32.37,7.93,88.26,7
6887,1,1209.92,1,3,785.48,18.12,6,104.21,9.09,96.53,4
2622,1,1385.27,3,4,659.49,29.36,7,28.24,17.41,99.9,4
3780,1,681.71,2,4,182.99,28.4,5,32.25,19.73,88.56,3
702,0,847.13,1,4,1113.81,40.58,6,13.62,7.01,96.41,3
6708,0,813.45,1,2,185.01,44.54,8,13.08,19.98,99.9,4
6129,0,644.33,2,3,155.4,9.84,8,61.88,8.5,94.97,4
1036,1,1223.21,2,2,318.94,40.7,4,61.26,26.64,85.16,6
720,1,973.77,2,4,21.96,2.2,7,33.45,1.71,99.17,6
4583,1,861.76,2,4,33.53,56.54,6,33.31,42.45,93.15,5
6975,0,550.0,1,3,333.2,32.45,4,78.08,18.12,92.15,1
2972,0,988.14,1,2,377.72,32.52,7,41.47,27.49,92.82,4
157,0,752.35,2,1,723.63,53.33,6,61.57,39.25,98.83,5
2241,0,1190.52,2,2,833.55,51.05,5,8.38,38.14,97.07,3
599,1,550.0,1,3,575.64,3.97,6,97.6,1.45,91.73,2
4099,0,638.03,1,3,795.57,33.65,8,43.74,31.42,94.1,3
1859,1,688.88,2,3,841.61,57.95,6,8.52,0.03,99.9,6
799,1,550.0,1,4,578.78,35.07,7,109.14,23.58,93.76,4
4037,0,759.17,2,3,303.47,23.92,7,61.69,15.39,89.51,1
2589,1,2233.04,3,3,603.29,10.99,10,67.79,5.5,99.9,5
5969,1,1805.62,1,2,398.34,33.12,9,104.0,19.23,99.9,4
4559,0,1307.18,3,3,149.03,41.85,6,17.04,29.95,97.78,5
6771,0,944.66,1,3,994.34,30.02,8,14.57,11.03,94.92,2
528,1,550.0,2,2,331.56,23.64,3,73.67,43.44,88.2,1
5342,0,754.61,2,2,170.87,8.62,8,6.81,7.3,90.18,5
3574,1,838.11,4,2,599.05,5.5,10,83.72,2.03,93.94,7
2724,0,796.16,1,2,319.94,62.82,6,15.28,31.1,92.65,4
4521,0,1611.13,2,3,289.96,33.11,4,40.11,14.03,86.54,4
3819,0,726.52,3,3,750.84,30.56,10,30.6,20.01,99.9,8
4073,1,1535.8,3,3,622.19,16.65,9,2.27,24.12,94.93,8
318,1,1628.62,5,4,831.39,28.89,10,60.38,5.19,99.9,10
1059,1,1499.31,2,4,653.16,15.67,10,70.9,12.31,95.07,5
6509,1,627.46,1,2,174.16,49.24,5,5.62,19.93,92.62,2
959,1,2114.0,4,4,820.65,10.6,10,2.54,10.9,99.9,8
1223,0,683.04,1,2,245.15,23.32,4,32.35,15.52,90.57,2
3956,1,1527.93,4,3,547.11,35.09,9,110.45,18.53,93.03,9
1492,0,803.03,1,4,381.95,2.6,7,61.83,41.89,99.46,4
5308,0,550.0,4,4,177.98,52.63,9,52.73,15.3,88.72,4
2326,1,1076.92,1,2,2.04,28.23,4,82.35,8.37,95.4,5
4158,0,1384.6,2,2,246.71,51.13,3,68.81,3.72,88.67,3
1266,0,664.28,2,2,392.33,39.91,9,3.48,10.55,96.26,4
5498,1,1584.13,1,4,191.36,41.2,9,90.55,2.17,95.41,6
653,1,550.0,1,1,688.88,45.47,3,78.23,14.98,91.98,1
185,0,1435.02,1,2,820.63,49.85,4,43.35,0.23,95.63,5
4629,1,763.97,3,3,39.86,10.03,6,6.04,14.95,99.25,5
5402,0,908.8,3,3,917.38,34.59,7,41.25,17.36,95.62,8
1635,0,550.0,1,3,91.68,15.9,9,43.98,8.52,89.22,5
2295,0,637.9,2,2,341.58,3.82,5,24.58,23.91,94.01,6
6624,1,820.88,4,2,116.81,19.75,7,10.35,4.79,97.95,6
27,0,708.19,1,3,139.15,5.39,9,28.68,16.1,91.08,4
78,0,1029.31,4,2,412.54,44.29,6,86.13,22.07,91.83,6
436,1,793.3,1,3,648.22,16.36,8,47.64,11.15,96.1,5
5256,1,853.04,1,1,203.06,31.06,4,110.9,15.72,93.72,3
1402,0,550.0,2,2,773.29,7.32,3,37.24,5.97,90.44,2
925,1,1071.04,4,3,123.81,2.01,9,61.15,10.4,97.61,7
4180,1,1590.37,4,2,935.42,41.33,7,6.28,7.16,94.59,5
4155,0,1077.55,2,4,81.33,8.21,7,7.57,27.18,92.21,7
5590,1,1363.77,2,4,1012.71,4.34,6,34.33,12.04,94.17,4
477,0,550.0,2,4,1188.94,39.14,7,28.98,3.71,94.29,4
2569,0,690.37,1,1,685.37,8.53,5,117.74,22.2,96.37,3
6144,1,581.91,2,1,244.02,60.92,5,16.24,23.95,89.27,2
6316,1,974.78,2,2,754.78,58.37,6,59.2,33.7,98.3,5
4774,0,661.47,2,2,583.96,2.68,8,13.6,13.29,90.67,3
5762,0,550.0,1,4,322.67,22.88,8,50.0,21.17,92.84,5
2045,0,1348.9,1,2,38.59,52.42,5,13.55,26.41,86.99,5
2294,0,1077.59,2,2,427.32,26.13,8,58.12,2.59,99.54,5
6473,0,550.0,1,1,187.73,35.3,5,58.55,42.59,95.5,1
6401,1,1351.01,2,3,466.5,22.02,8,40.52,27.53,94.49,6
3276,0,678.8,2,3,246.18,32.37,8,1.25,12.96,97.36,6
976,1,1405.16,3,3,606.14,35.16,8,42.49,10.49,99.9,6
2248,1,1362.44,3,3,1264.2,14.43,7,92.36,36.86,94.79,8
4075,1,1601.42,1,4,873.92,71.18,5,23.6,44.59,94.61,6
4432,1,949.45,5,3,540.27,10.59,9,1.02,13.61,91.92,5
1142,0,550.0,3,4,323.31,32.52,6,25.8,4.81,86.52,4
989,0,1379.65,2,5,898.24,26.94,9,35.89,14.52,90.27,6
6629,0,1206.48,1,3,693.8,15.44,4,111.5,26.6,85.63,4
5694,0,616.19,2,3,76.39,39.64,6,17.41,16.1,86.37,7
230,1,1199.21,2,2,562.34,66.9,7,59.89,39.01,84.63,6
1699,1,1406.82,1,2,409.31,22.98,8,53.6,28.52,94.09,8
740,0,1314.72,1,2,765.95,59.41,8,7.83,7.51,88.73,4
3002,1,1791.41,1,5,584.62,45.68,7,80.21,11.7,93.87,5
5735,0,550.0,1,2,414.41,20.05,7,117.91,14.0,91.62,2
6044,1,1229.92,3,4,148.67,14.49,8,12.61,9.91,99.9,5
4855,1,1453.47,3,2,797.63,14.66,4,62.96,0.76,92.67,7
5374,1,550.0,5,4,525.05,34.48,7,45.5,21.08,91.35,6
4307,1,1205.61,2,4,642.57,62.46,10,52.11,23.97,90.69,8
3164,0,650.07,2,3,2.2,57.1,6,70.17,32.18,93.66,4
3310,0,559.57,1,3,774.16,23.98,8,111.82,53.25,94.33,5
4924,0,846.7,3,1,519.02,13.62,7,10.97,39.44,99.9,4
