,Price,SquareFootage,NumBathrooms,BackyardSpace,CrimeRate,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,PreviousSalePrice
0,176391.7665,1002.49,1,354.22,44.61,106.01,26.79,94.32,1.36,165208.5865
1,402358.3158,897.55,5,579.57,41.05,13.77,24.4,86.13,1.76,524019.6443
2,124287.4584,774.63,2,1114.67,49.1,22.59,8.74,99.9,1.84,76449.7098
3,396428.1539,550.0,1,561.07,29.17,104.06,2.94,94.05,1.07,491021.5171
4,208725.8216,614.91,2,782.71,63.76,22.15,15.01,99.9,1.88,142189.9214
5,394620.5868,550.0,1,317.82,62.92,141.84,19.99,94.52,0.97,252727.7574
6,126925.7731,550.0,1,286.36,53.45,75.62,34.53,84.64,1.67,65149.99911
7,229853.3099,550.0,1,376.66,10.75,36.14,5.5,93.48,2.14,102046.909
9,200818.954,1068.3,1,629.24,38.4,24.07,22.23,91.87,2.2,193122.5853
10,357035.4249,1201.84,3,1209.03,49.9,27.26,10.94,90.36,1.5,268943.0146
11,463808.856,1337.43,3,955.18,20.59,32.28,3.17,89.72,0.82,536039.3908
12,313945.7134,738.56,2,493.17,9.32,34.11,24.19,98.25,2.1,193268.1435
13,165031.6016,695.79,3,83.24,47.32,47.77,7.97,93.74,1.44,79052.54416
14,256587.6562,550.0,1,283.41,49.39,67.51,31.51,88.31,2.36,186543.244
15,398669.8832,1912.38,3,507.06,41.58,27.11,14.38,96.4,1.05,486523.6679
16,323380.2074,859.83,3,708.09,21.88,23.49,11.97,91.77,0.68,279680.2035
17,448203.1313,1513.03,2,529.1,28.46,26.41,19.34,91.63,2.45,476128.3479
18,352825.9544,660.82,4,347.39,5.77,2.58,23.43,99.9,1.89,646336.6601
19,545962.0806,1835.88,2,491.31,46.18,95.53,15.05,87.67,0.71,541756.8039
20,149533.4247,550.0,2,697.31,36.49,30.3,23.89,84.98,0.67,73425.08501
21,264441.7319,1336.19,1,305.2,53.4,72.88,32.06,94.68,1.07,263213.226
22,238200.4947,1814.94,1,482.49,13.44,46.63,23.18,93.48,1.18,419202.6282
23,135171.2247,946.9,1,596.87,25.8,120.73,26.67,97.35,1.82,38906.05314
24,229353.9442,1352.52,2,459.03,48.95,21.52,20.02,99.9,1.64,194836.3861
25,139404.3725,976.2,1,34.11,53.63,56.83,21.91,93.36,2.26,79444.95455
26,118318.5553,550.0,1,496.46,17.29,114.72,22.01,92.34,1.93,4747.917512
27,197581.5547,708.19,1,139.15,5.39,28.68,16.1,91.08,1.45,100437.2396
28,429178.0547,935.84,2,480.78,14.04,85.05,9.29,85.7,1.42,421672.4877
29,156375.4648,550.0,2,200.61,46.26,62.18,37.1,88.73,0.96,64295.43476
31,282855.1167,550.0,2,135.08,39.45,28.71,30.42,99.9,1.78,149549.2599
32,171418.0448,1272.98,1,439.48,44.4,104.43,10.51,92.81,1.99,85252.91224
33,356250.7195,1881.78,3,31.56,5.18,48.85,10.23,93.98,1.07,432153.303
34,459577.8498,1061.97,2,333.14,31.09,7.25,34.39,91.82,1.7,482118.338
35,474262.431,1477.56,4,1071.19,25.58,44.02,23.52,99.9,1.25,479802.0439
36,551271.1624,1259.78,3,550.08,54.61,68.01,27.13,91.41,1.57,433461.4675
37,143197.3936,1225.68,2,277.91,50.76,126.53,4.78,94.75,0.92,104629.9954
38,220449.0188,641.92,2,728.7,1.13,92.3,15.02,99.07,1.51,387841.7319
39,183257.9263,1067.69,1,313.38,26.3,40.59,1.02,85.43,0.92,141880.7505
40,338942.4888,1544.53,1,677.97,2.88,17.8,13.3,99.9,0.98,412579.9944
41,456965.1835,1790.88,3,695.61,20.81,24.52,30.63,87.88,0.8,337761.8265
42,285175.2294,1114.3,2,821.15,52.77,16.89,5.29,86.69,2.98,312651.6828
43,267888.0566,968.6,4,625.87,45.22,13.54,2.28,96.71,0.68,376588.7389
44,197044.3929,550.0,3,322.77,29.04,30.58,29.27,97.48,2.61,165592.7666
45,198393.1279,842.16,3,509.27,20.73,35.88,36.54,98.54,1.54,212641.0238
